lat	long	site
48.840221	10.090127	Aalen
49.40376	9.392454	Adelsheim
48.843589	9.718126	Alfdorf
31.590853	8.957572	Altenstadt
48.898676	11.649468	Altmannstein
49.643947	9.221585	Amorbach
50.378375	7.747492	Arzbach
50.334684	7.708272	Bad Ems
50.226973	8.614248	Bad Homburg
50.511165	7.314095	Bad Hönningen
50.364281	8.737967	Bad Nauheim
50.144227	8.067725	Bad Schwalbach
50.293232	7.716678	Becheln
50.426327	7.572533	Bendorf
50.254176	7.812955	Berg
48.816732	9.925684	Böbingen
49.523371	9.322984	Buchen
49.033369	11.097136	Burgsalach
49.715822	9.270915	Bürgstadt und Miltenberg
50.436603	8.670356	Butzbach
48.926039	11.454669	Denkendorf
50.270742	7.789973	Dornholzhausen
50.387712	8.883808	Echzell
49.087516	10.541557	Ehingen
50.376611	7.722584	Eitelborn
49.061439	10.971475	Ellingen
49.088001	10.991011	Ellingen | Pleinfeld
48.962313	10.128334	Ellwangen
50.168501	8.981422	Erlensee
48.809357	10.025658	Essingen
49.08015	11.05816	Ettenstatt
50.317619	8.861317	Florstadt
50.288066	8.943672	Florstadt/Altenstadt
49.28762	9.565114	Forchtenberg
50.333331	8.755904	Friedberg
50.256775	8.62796	Friedrichsdorf
50.25497	7.788816	Geisig
50.214901	8.398863	Glashütten
49.042256	9.533901	Großerlach
50.08152	8.985829	Großkrotzenburg
49.120309	10.766903	Gunzenhausen
50.227001	8.992849	Hammersbach
50.476905	7.351311	Hammerstein
50.133339	8.916832	Hanau
50.176661	7.968327	Heidenrod
48.84936	9.944094	Heuchlingen
50.405843	7.69462	Hillscheid
50.194441	8.094113	Hohenstein
50.43394	7.671003	Höhr-Grenzhausen
50.219027	7.908717	Holzhausen a.d. Haide
49.062553	11.005457	Höttingen
50.475547	8.898089	Hungen
50.249329	7.837696	Hunzel
48.892774	10.10147	Hüttlingen
48.923645	10.136673	Hüttlingen/Rainau
50.218888	8.267902	Idstein
48.834441	9.876365	Iggingen
49.310979	9.469101	Jagsthausen
50.387197	7.716408	Kadenbach
48.930648	9.639398	Kaisersbach
50.347619	7.753415	Kemmenau
48.951695	11.395355	Kipfenberg
49.78337	9.183197	Klingenberg
50.358385	7.604255	Koblenz
48.87307	11.514358	Kösching
50.303494	7.61737	Lahnstein
50.458664	7.379493	Leutesdorf
50.521323	8.817375	Lich
50.25995	8.992872	Limeshain
50.224538	8.992135	Limeshain/Hammersbach
48.799124	9.685216	Lorch
49.081133	9.559373	Mainhardt
50.241166	7.814369	Marienfels
49.144482	10.617177	Markt Arberg
50.226892	7.832565	Miehlen
49.709482	9.268481	Miltenberg
49.702834	9.258728	Miltenberg
48.824168	9.960944	Mögglingen
49.023852	10.362023	Mönchsroth
50.4555	8.776216	Münzenberg
48.978431	9.576582	Murrhardt
48.824737	9.795321	Mutlangen
50.189602	8.991846	Neuberg
48.806123	11.767657	Neustadt a.d.Donau
50.435277	7.468212	Neuwied
50.408262	8.966446	Nidda
49.912324	9.137878	Niedernberg
50.373528	8.692484	Ober-Mörlen
49.848609	9.133758	Obernburg
50.243678	7.889649	Obertiefenbach
50.201326	8.586287	Oberursel
50.270494	8.439754	Oberursel/Schmitten
50.287179	7.779888	Oberwies
49.20348	9.503913	öhringen
49.43118	9.433686	Osterburken
49.177949	9.508769	Pfedelbach
49.104676	10.835732	Pfofeld
48.807202	11.688423	Pförring
49.105503	10.979891	Pleinfeld
49.104676	10.835732	Pleinfeld | Pfofeld
50.247878	7.862856	Pohl
50.524778	8.727081	Pohlheim
48.92729	10.137206	Rainau
49.014369	11.124542	Raitenbuch
50.232053	7.93848	Rettert
50.498837	7.328883	Rheinbrohl
50.297378	8.69748	Rosbach
50.270508	8.440721	Schmitten
49.329937	9.506399	Schöntal
49.405412	9.393184	Schöntal/Adelsheim
48.800046	9.800293	Schwäbisch Gmünd
50.279481	7.753358	Schweighausen
50.043911	8.972053	Seligenstadt
49.000876	10.299689	Stödtlen
50.149105	8.151593	Taunusstein
50.218267	8.267897	Idstein
49.08359	10.853628	Theilenhofen
48.998884	11.212517	Titting
49.081708	10.619559	Unterschwaningen
50.399829	7.621391	Vallendar
49.585157	9.362875	Walldürn
48.913587	11.29961	Walting
50.302159	8.568682	Wehrheim
49.038658	10.450867	Weiltingen
49.028756	10.969595	Weißenburg
49.033365	11.096889	Weißenburg | Burgsalach
49.07867	11.056921	Weißenburg | Ettenstatt
50.413302	7.595562	Weitersburg
50.380677	7.760169	Welschneudorf
48.879046	9.632032	Welzheim
49.320602	9.421889	Widdern
49.027485	10.392877	Wilburgstetten
49.032332	14.084323	Wittelshofen
31.506926	8.859731	Wölfersheim
49.795006	9.155387	Wörth a.Main
31.506926	8.859731	Zweiflingen
49.051707	10.46276	Weiltingen | Wittelshofen
49.061269	10.715961	Gnotzheim
50.426674	7.629661	Weitersburg / Höhr-Grenzhausen
