name	typ	typ2	lat	long
Ulpia Noviomagus Batavorum	Kastell	Alenkastell	51.8375	5.8925
Burginatium	Kastell	Alenkastell	51.713889	6.318889
Asciburgium	Kastell	Alenkastell	51.431667	6.67
Gelduba	Kastell	Alenkastell	51.333194	6.6825
Novaesium	Kastell	Alenkastell	51.183889	6.721944
Durnomagus	Kastell	Alenkastell	51.0925	6.840556
Grinnes	Kastell	Auxiliarkastell	51.801111	5.349167
Fectio	Kastell	Auxiliarkastell	52.056111	5.165556
Carvo	Kastell	Auxiliarkastell	51.929722	5.5625
Kastell Overbetuwe-Randwijk	Kastell	Auxiliarkastell	51.954444	5.710278
Kastell Overbetuwe-Driel	Kastell	Auxiliarkastell	51.959444	5.820833
Castra Herculis	Kastell	Auxiliarkastell	51.970833	5.873611
Castra Herculis	Kastell	Auxiliarkastell	51.970833	5.873611
Castra Herculis	Kastell	Auxiliarkastell	51.970833	5.873611
Castra Herculis	Kastell	Auxiliarkastell	51.970833	5.873611
Kastell Duiven-Loowaard	Kastell	Auxiliarkastell	51.920833	5.9875
Harenatium	Kastell	Auxiliarkastell	51.813333	6.128333
Kastell Steincheshof	Kastell	Auxiliarkastell	51.759167	6.234444
Kastell Wesel-Büderich	Kastell	Auxiliarkastell	51.638333	6.580556
Gelduba	Kastell	Auxiliarkastell	51.333194	6.6825
Gelduba	Kastell	Auxiliarkastell	51.333194	6.6825
Römerlager Wesseling	Kastell	Auxiliarkastell	50.820208	6.999236
Kastell Huissen	Kastell	Auxiliarkastell	51.935278	5.943333
Ceuclum	Kastell	Auxiliarkastell	51.729125	5.882969
Novaesium	Kastell	Auxiliarkastell	51.183889	6.721944
Bonna	Kastell	Auxiliarkastell	50.74501	7.1
Rigomagus	Kastell	Festung	50.579583	7.227361
Flottenkastell Alteburg	Kastell	Flottenkastell	50.904167	6.979444
Fectio	Kastell	Flottenkastell	52.056111	5.165556
Kleinkastell Ockenburgh	Kastell	Kleinkastell	52.283889	5.691528
Kleinkastell Bodegraven	Kastell	Kleinkastell	52.08375	4.745694
Quadriburgium	Kastell	Kleinkastell	51.777778	6.178889
Kleinkastell Werthausen	Kastell	Kleinkastell	51.422222	6.711111
Kleinkastell am Reckberg	Kastell	Kleinkastell	51.175089	6.766536
Kastell Aardenburg	Kastell	Kohortenkastell	51.272639	3.446667
Lugdunum Batavorum (Kastell)	Kastell	Kohortenkastell	52.211111	4.383333
Praetorium Agrippinae	Kastell	Kohortenkastell	52.179722	4.431667
Matilo	Kastell	Kohortenkastell	52.149711	4.518406
Albaniana	Kastell	Kohortenkastell	52.129403	4.661619
Laurium (castellum)	Kastell	Kohortenkastell	52.086064	4.883953
Fletio	Kastell	Kohortenkastell	52.087222	5.041944
Traiectum (Utrecht)	Kastell	Kohortenkastell	52.090692	5.121642
Levefanum	Kastell	Kohortenkastell	51.9625	5.352778
Mannaricium	Kastell	Kohortenkastell	51.970278	5.422778
Carvium	Kastell	Kohortenkastell	51.868611	6.0875
Asciburgium	Kastell	Kohortenkastell	51.431667	6.67
Rigomagus	Kastell	Kohortenkastell	50.579583	7.227361
Marschlager Ermelo	Kastell	Marschlager	52.283889	5.691528
Gelduba	Kastell	Marschlager	51.333194	6.6825
Quadriburgium	Kastell	Numeruskastell	51.777778	6.178889
Quadriburgium	Kastell	Numeruskastell	51.777778	6.178889
Kastell Velsen I	Kastell		52.451944	4.669444
Kastell Velsen II	Kastell		52.456389	4.659306
Kastell Maldegem-Vake	Kastell		51.222361	3.425139
Quadriburgium	Kastell		51.777778	6.178889
Catualium	Kastell		51.176456	5.893875
Haus Bürgel	Kastell		51.129722	6.873333
Bonna	Kastell		50.74500	7.1
Praetorium Agrippinae	Kastell	Vexillationskastell	52.179722	4.431667
Nigrum Pullum	Kastell	Vexillationskastell	52.105097	4.715925
Castra Herculis	Kastell	Vexillationskastell	51.970833	5.873611
Asciburgium	Kastell	Vexillationskastell	51.431667	6.67
Asciburgium	Kastell	Vexillationskastell	51.431667	6.67
Novaesium	Kastell	Vexillationslager	51.183889	6.721944
Kleinkastell am Reckberg	Kastell	Wachturm	51.175089	6.766536
Novaesium	Legionslager	Legionslager	51.183889	6.721944
Apud aram Ubiorum	Legionslager	Legionslager	50.942222	6.957778
Ulpia Noviomagus Batavorum	Legionslager	Legionslager	51.839292	5.885642
Ulpia Noviomagus Batavorum	Legionslager	Legionslager	51.839292	5.885642
Vetera	Legionslager	Legionslager	51.646389	6.469989
Vetera	Legionslager	Legionslager	51.651389	6.49
Novaesium	Legionslager	Legionslager	51.183889	6.721944
Novaesium	Legionslager	Legionslager	51.183889	6.721944
Novaesium	Legionslager	Legionslager	51.183889	6.721944
Bonna	Legionslager	Legionslager	50.74502	7.1
Novaesium	Legionslager	Vier-Legionen-Lager	51.183889	6.721944
